S2,S6,S7,O,S5
S7,S6,P,S7,S6
S3,S2,W,O,O
S8,P,O,S7,C
S4,S1,S5,P,S1
S1,S1,S2,O,S8
S2,S7,S8,W,S7
S4,S7,S8,S4,S7
W,S6,S1,S3,O
S5,S4,S6,W,S4
W,S4,O,S2,S7
S5,S6,S5,S6,S4
O,O,S8,O,S5
O,S7,S7,S1,C
O,O,S5,S7,W
S3,S6,O,S8,O
O,S5,S5,S7,S5
S2,S5,W,S3,S6
S6,O,W,S6,S8
O,S2,S3,S2,O
O,S5,S8,O,O
O,O,S1,S6,P
O,C,C,S8,S6
P,S7,P,S5,S2
O,S3,W,O,S4
S2,S1,S1,W,W
S2,S8,S5,S6,S1
S1,C,S3,S2,O
C,S8,W,S1,S8
S8,S1,O,S2,O
P,S5,P,O,S1
S5,S5,S3,S3,S5
O,S3,S4,S5,S1
S1,S6,O,C,S3
S5,S3,S2,C,O
S2,P,S5,O,SC
O,O,S8,S8,C
C,S3,S8,S7,O
S3,S4,C,S1,S3
S8,O,C,W,S1
S2,O,S7,S3,S5
S2,O,S2,S4,S2
S5,S6,S6,S6,W
P,O,S1,S3,S1
W,C,S2,C,S5
S5,S6,S5,S2,S8
S7,W,S6,S5,S3
P,S2,W,W,C
S7,S7,S7,S6,O
O,O,S4,S4,W
O,O,C,S3,S1
S7,S2,O,S4,S1
S7,C,S3,S2,C
S4,S2,C,S8,W
C,O,S7,S1,O
S6,O,O,S7,W
W,S8,S2,S2,S6
S1,S2,O,S5,W
O,S2,S7,O,S3
S6,S3,W,S2,S5
C,S8,O,S1,S7
S3,C,S2,SC,C
S3,S7,S4,P,O
S6,O,S1,S8,S7
W,P,S4,S1,P
